id,text,ground_truth,ground_truth_tr,category_id,category,difficulty,surface_tone,hard_case,viewpoint,annotation_note
PHRASE-0001,"Anatolia Gıda, olağan genel kurul toplantısının 14 Mayıs 2026 tarihinde yapılacağını ve gündem maddelerini kamuya açıkladı.",neutral,nötr,procedural_disclosure,prosedürel bildirim,clear,procedural,False,investor_impact,Prosedürel bildirim yatırımcı açısından doğrudan value-relevant pozitif ya da negatif etki taşımaz.
PHRASE-0002,"Pera Yazılım, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.464 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 2,4x seviyesinden 3,9x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.
PHRASE-0003,"Anatolia Gıda, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.481 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,5x seviyesinden 3,1x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.
PHRASE-0004,"Eksen Teknoloji, portföy verimliliğini artırma süreci kapsamında Almanya pazarındaki 1.035 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini açıkladı.",negative,negatif,hard_contract_loss,olumlu dille sözleşme kaybı,hard,positive_like,True,investor_impact,Yeniden dengeleme dili olumlu görünse de önemli sözleşme kaybı yatırımcı açısından negatiftir.
PHRASE-0005,"Vizyon Telekom, Gaziantep bölgesindeki yatırım seçeneklerini değerlendirdiğini ancak proje için henüz bağlayıcı karar alınmadığını bildirdi.",neutral,nötr,non_binding_review,bağlayıcı olmayan değerlendirme,nuanced,neutral_like,False,investor_impact,Bağlayıcı karar ve net finansal etki olmadığı için yatırımcı açısından neutral kabul edilir.
PHRASE-0006,"Hedef Savunma, Manisa bölgesindeki yatırım seçeneklerini değerlendirdiğini ancak proje için henüz bağlayıcı karar alınmadığını bildirdi.",neutral,nötr,non_binding_review,bağlayıcı olmayan değerlendirme,nuanced,neutral_like,False,investor_impact,Bağlayıcı karar ve net finansal etki olmadığı için yatırımcı açısından neutral kabul edilir.
PHRASE-0007,"Vizyon Telekom, olağan genel kurul toplantısının 7 Nisan 2026 tarihinde yapılacağını ve gündem maddelerini kamuya açıkladı.",neutral,nötr,procedural_disclosure,prosedürel bildirim,clear,procedural,False,investor_impact,Prosedürel bildirim yatırımcı açısından doğrudan value-relevant pozitif ya da negatif etki taşımaz.
PHRASE-0008,"Trend Tarım, portföy verimliliğini artırma süreci kapsamında Almanya pazarındaki 1.237 milyon TL tutarındaki ana dağıtım sözleşmesinin yenilenmediğini ve sipariş akışında zayıflama beklediğini açıkladı.",negative,negatif,hard_contract_loss,olumlu dille sözleşme kaybı,hard,positive_like,True,investor_impact,Yeniden dengeleme dili olumlu görünse de önemli sözleşme kaybı yatırımcı açısından negatiftir.
PHRASE-0009,"Trend Tarım, Polonya pazarında 1.286 milyon TL tutarında 2 yıllık satış sözleşmesi imzaladı; anlaşmanın gelecek 12 ay gelirlerine doğrudan katkı sağlaması bekleniyor.",positive,pozitif,clear_contract_gain,açık sözleşme kazanımı,clear,positive_like,False,investor_impact,Somut büyüklüğü olan yeni sözleşme yatırımcı açısından açık pozitif kabul edilir.
PHRASE-0010,"Orion Otomotiv, varlık satışı sonrasında net borcunu 1.467 milyon TL azalttı ve net borç/FAVÖK oranının 1,2x seviyesinden 0,7x seviyesine gerilediğini açıkladı.",positive,pozitif,clear_deleveraging,açık borçluluk azalması,clear,positive_like,False,investor_impact,Borçluluğun düşmesi ve kaldıraç oranındaki iyileşme yatırımcı açısından pozitiftir.
PHRASE-0011,"Orion Otomotiv, 2025 yıl sonu döneminde net kârını %44 artırarak 695 milyon TL'ye çıkardı ve yıl sonu gelir beklentisini %14 yukarı revize etti.",positive,pozitif,clear_profit_growth,açık kâr artışı,clear,positive_like,False,investor_impact,Yatırımcı açısından net kâr artışı ve yukarı yönlü beklenti revizyonu açık pozitif değerdir.
PHRASE-0012,"Delta Yatırım Holding, bilanço esnekliğini korumak ve nakit yönetimini desteklemek amacıyla 1.149 milyon TL ek kısa vadeli kredi kullandı; net borç/FAVÖK oranı 1,5x seviyesinden 2,3x seviyesine yükseldi.",negative,negatif,hard_liquidity_pressure,olumlu dille likidite baskısı,hard,positive_like,True,investor_impact,Dil yapısı olumlu görünse de artan kısa vadeli borç ve kötüleşen kaldıraç oranı yatırımcı açısından negatiftir.
